case_id,psnr_full,ssim_full,mae_full,rmse_full,mask_nonzero_area_fraction,original_mean_mask_nonzero,generated_mean_mask_nonzero,original_std_mask_nonzero,generated_std_mask_nonzero,mae_mask_nonzero,mask_labels
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-53,24.34472233247641,0.7618735312986749,0.10865990468685105,0.2743413260278373,0.3614387512207031,1.416346020986982,1.253060906141293,0.6906049377649478,0.7751639015774549,0.2899987758817871,0.0|0.5|1.0
1.000000-P4P117S306I00008 Gated 50.0A-77346-1-78,24.21372718659157,0.7563782409442795,0.15181679218627053,0.348924217498468,0.3728752136230469,1.8196927815895563,1.4521760862305588,0.26640261087221556,0.3770158239584818,0.40152252391238547,0.0|0.5
1.000000-P4P117S306I00009 Gated 60.0A-31163-1-70,23.176023618120464,0.7447006514413346,0.1698750567820837,0.3680469996069115,0.3743095397949219,1.7911425070388514,1.3780302636275064,0.3137975646642133,0.39198272758334207,0.4468725392457135,0.0|0.5|1.0
1.000000-P4P117S306I00011 Gated 80.0A-73769-1-90,25.360016745655734,0.7801904577388071,0.11015299843949444,0.27860730366659864,0.36749267578125,1.7308099274237267,1.537358540237615,0.3171416868122673,0.3394126366400139,0.2929850300978157,0.0|0.5
1.000000-P4P117S306I00012 Gated 90.0A-24965-1-80,23.16832845755316,0.734043449802845,0.1544148433082171,0.3433643865400914,0.3755683898925781,1.827341434494951,1.4596939373460942,0.2726865819684722,0.35597713271323755,0.4052510875545428,0.0|0.5
1.000000-P4P117S308I00003 Gated 0.0A-49546-1-099,24.625603293871322,0.8052512623711694,0.09331093630247889,0.27561319163640097,0.3187255859375,1.4252970613033351,1.2790492074173272,0.8827018529955736,0.8528589439589197,0.28046592201660137,0.0|0.5
1.000000-P4P117S308I00004 Gated 10.0A-78586-1-078,24.94089598916841,0.8462197030996822,0.08771426847685415,0.2606899449075601,0.3193473815917969,1.2471243125938554,1.1983056469070064,0.895710547130739,0.8651786900699227,0.2629852645647705,0.0|0.5|1.0
1.000000-P4P117S308I00004 Gated 10.0A-78586-1-104,25.34937532336049,0.8467272973252064,0.09496755537919555,0.29616954580977484,0.3135108947753906,1.3528377077395637,1.2282714140272148,0.8622408464100283,0.8494964142216685,0.29108783523343895,0.0|0.5
1.000000-P4P117S308I00005 Gated 20.0A-76239-1-044,28.10106220745404,0.8622206122915952,0.07552846319371742,0.22820171753505245,0.2823333740234375,1.070169000514969,1.0663875563806673,0.9754162751928838,0.9623187584616469,0.2511092181468943,0.0|0.5|1.0
1.000000-P4P117S308I00007 Gated 40.0A-32548-1-065,25.31714953499515,0.8182314329086497,0.08699448333186677,0.22826355456517058,0.308837890625,1.0374041655433304,1.0994209772803092,0.9522373975399044,0.9375193939316974,0.26654835130717447,0.0|0.5|1.0
